RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.748644758,0.30864197530864196,0.0,0.936659772,0.0012852513502285003,0.24561403508771928,0.0,0.034482758620689655,0.0,0.2
0.699144539,0.39506172839506176,0.0,0.240155297,0.001797424179476527,0.07017543859649122,0.0,0.0,0.0,0.0
0.965961362,0.5679012345679011,0.01020408163265306,0.08926366,0.007803905276277524,0.10526315789473684,0.0,0.034482758620689655,0.0,0.0
0.9999999,0.1728395061728395,0.030612244897959183,0.353441093,0.0019941836310760283,0.08771929824561403,0.02040816326530612,0.0,0.01020408163265306,0.05
0.415452818,0.29629629629629634,0.02040816326530612,0.233238111,0.0019775654341503946,0.10526315789473684,0.01020408163265306,0.034482758620689655,0.0,0.05
0.573796369,0.18518518518518517,0.0,0.322923173,0.0005317823016202742,0.14035087719298245,0.0,0.0,0.01020408163265306,0.1
0.023998546,0.5061728395061729,0.0,0.429378531,0.0007644370585791442,0.14035087719298245,0.0,0.034482758620689655,0.0,0.0
0.342832146,0.3209876543209876,0.01020408163265306,0.259490844,0.0007438304943913586,0.03508771929824561,0.04081632653061224,0.0,0.0,0.1
0.832010181,0.6296296296296295,0.02040816326530612,0.660350545,0.0007012879102617366,0.19298245614035087,0.01020408163265306,0.0,0.0,0.0
0.14114514,0.14814814814814814,0.01020408163265306,0.413917217,0.0016618196925633569,0.14035087719298245,0.0,0.06896551724137931,0.030612244897959183,0.1
0.002036527,0.5679012345679011,0.0,0.081590675,0.0019386788533444122,0.12280701754385964,0.0,0.0,0.0,0.0
0.885051987,0.6049382716049383,0.0,0.836776258,0.0011420024927295388,0.2982456140350877,0.0,0.034482758620689655,0.0,0.0
0.9999999,0.4567901234567901,0.0,0.449191056,0.0018280016618196927,0.10526315789473684,0.0,0.06896551724137931,0.0,0.05
0.9999999,0.4567901234567901,0.0,0.124039153,0.006009804736186124,0.03508771929824561,0.01020408163265306,0.034482758620689655,0.0,0.15000000000000002
0.339294728,0.419753086419753,0.030612244897959183,0.042756075,0.001080182800166182,0.10526315789473684,0.0,0.0,0.02040816326530612,0.05
0.968031968,0.25925925925925924,0.01020408163265306,0.622810765,0.000777731616119651,0.08771929824561403,0.02040816326530612,0.0,0.0,0.05
0.857142857,0.13580246913580246,0.0,0.053936065,0.002359783963439967,0.05263157894736842,0.0,0.0,0.0,0.1
0.058415888,0.20987654320987653,0.0,0.636022775,0.002393020357291234,0.22807017543859648,0.0,0.034482758620689655,0.0,0.1
0.857349322,0.18518518518518517,0.01020408163265306,0.776011561,0.0006896551724137932,0.15789473684210525,0.0,0.0,0.0,0.1
0.081323514,0.43209876543209874,0.0,0.411291904,0.001695056086414624,0.19298245614035087,0.01020408163265306,0.06896551724137931,0.0,0.0
0.003176408,0.39506172839506176,0.0,0.241712857,0.003057748234316577,0.3508771929824561,0.0,0.06896551724137931,0.0,0.0
0.962207558,0.4567901234567901,0.0,0.795918367,0.0001462401329455754,0.08771929824561403,0.0,0.0,0.01020408163265306,0.05
0.295633818,0.14814814814814814,0.02040816326530612,0.266919272,0.0031574574158703783,0.08771929824561403,0.01020408163265306,0.034482758620689655,0.0,0.05
0.534573271,0.27160493827160487,0.0,0.275097784,0.0007644370585791442,0.07017543859649122,0.0,0.0,0.0,0.1
0.575561629,0.24691358024691362,0.04081632653061224,0.585602742,0.0017449106771915248,0.12280701754385964,0.01020408163265306,0.034482758620689655,0.01020408163265306,0.1
0.9999999,0.419753086419753,0.0,0.399280576,0.0008312422102201911,0.07017543859649122,0.01020408163265306,0.0,0.0,0.0
0.851062761,0.2345679012345679,0.02040816326530612,0.185890834,0.001290569173244703,0.12280701754385964,0.0,0.0,0.0,0.05
0.98185118,0.3209876543209876,0.02040816326530612,0.566249299,0.001778147071042792,0.21052631578947367,0.0,0.06896551724137931,0.0,0.05
0.9999999,0.25925925925925924,0.030612244897959183,0.7994002,0.0009970918155380142,0.03508771929824561,0.01020408163265306,0.034482758620689655,0.01020408163265306,0.15000000000000002
0.9999999,0.2222222222222222,0.0,0.041063929,0.004985459077690071,0.017543859649122806,0.0,0.0,0.0,0.2
0.010889665,0.19753086419753085,0.0,0.286315199,0.0011848774407976735,0.07017543859649122,0.0,0.034482758620689655,0.0,0.1
0.03349665,0.16049382716049382,0.0,0.341648374,0.0016651433319484837,0.10526315789473684,0.0,0.034482758620689655,0.0,0.05
0.9999999,0.4074074074074074,0.0,0.228402866,0.0007883672621520566,0.03508771929824561,0.0,0.0,0.01020408163265306,0.0
0.978007331,0.19753086419753085,0.01020408163265306,0.373320837,0.0010635646032405484,0.14035087719298245,0.01020408163265306,0.0,0.0,0.0
0.9999999,0.14814814814814814,0.01020408163265306,0.089740358,0.0013181553801412547,0.03508771929824561,0.01020408163265306,0.0,0.0,0.1
0.156622125,0.34567901234567905,0.0,0.00959729,0.001765849605317823,0.05263157894736842,0.0,0.0,0.0,0.05
0.788525125,0.7037037037037037,0.030612244897959183,0.953835474,0.0009572081429164936,0.21052631578947367,0.030612244897959183,0.034482758620689655,0.01020408163265306,0.0
0.000348827,0.35802469135802467,0.01020408163265306,0.172103004,0.001548483589530536,0.15789473684210525,0.01020408163265306,0.034482758620689655,0.0,0.0
0.075351938,0.5679012345679011,0.0,0.333730429,0.0019526381387619445,0.12280701754385964,0.0,0.034482758620689655,0.0,0.0
0.96031922,0.18518518518518517,0.030612244897959183,0.418759019,0.0011513086830078937,0.08771929824561403,0.01020408163265306,0.0,0.0,0.15000000000000002
0.358296799,0.12345679012345678,0.0,0.155503329,0.0008481927710843373,0.15789473684210525,0.0,0.0,0.01020408163265306,0.0
